"","county_fips","county","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian16","religious_adherents","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian_vote_reverse","self_employed_reverse","county_collectivism_raw","county_collectivism_score"
"360",13025,"Brantley","Georgia",0.090896078,0.262412428,0.390735449,0.162280042,0.077589944,0.11839003,0.016822727,0.336773764,0.609264551,0.837719958,3.81079511981041,0.983177273,0.909103922,0.273080992686155,30.829623641061
"361",13027,"Brooks","Georgia",0.123887128,0.320646507,0.358905489,0.162665771,0.031002511,0.111906072,0.014046717,0.414759831,0.641094511,0.837334229,3.1186991848316,0.985953283,0.876112872,-2.25556713498504,25.2992290248282
"362",13029,"Bryan","Georgia",0.097548923,0.180973767,0.162569649,0.054605048,0.027058732,0.086393452,0.035721347,0.311949573,0.837430351,0.945394952,5.52566273320707,0.964278653,0.902451077,3.29850322923003,37.4465106115002
"363",13031,"Bulloch","Georgia",0.083252662,0.28999029,0.285752851,0.101201323,0.052711376,0.114591921,0.035155633,0.344134946,0.714247149,0.898798677,3.44839132372329,0.964844367,0.916747338,1.11288210834848,32.6663487741235
"364",13033,"Burke","Georgia",0.126823262,0.23441425,0.337147986,0.158083698,0.056206568,0.086581125,0.013795316,0.404903236,0.662852014,0.841916302,4.26595226186121,0.986204684,0.873176738,-0.276201531030157,29.6282903757841
"365",13035,"Butts","Georgia",0.097161253,0.261388399,0.199575622,0.118708004,0.040131454,0.066279745,0.020391003,0.440001573,0.800424378,0.881291996,3.82572449208046,0.979608997,0.902838747,2.20121067905258,35.0466271538036
"366",13037,"Calhoun","Georgia",0.104179663,0.4738041,0.271209085,0.166332665,0.027335456,0.121774194,0.007901235,0.426341288,0.728790915,0.833667335,2.11057692409162,0.992098765,0.895820337,-0.326233193492482,29.5188663583833
"367",13039,"Camden","Georgia",0.091144767,0.255748453,0.244925043,0.08346031,0.047643792,0.102868748,0.033278663,0.343540023,0.755074957,0.91653969,3.91009207785902,0.966721337,0.908855233,2.08223094342867,34.7864071247159
"368",13043,"Candler","Georgia",0.105062724,0.217732625,0.338532781,0.154033634,0.03042836,0.135882832,0.019399415,0.466988435,0.661467219,0.845966366,4.59278897684718,0.980600585,0.894937276,-0.269246439176506,29.6435018249858
"369",13045,"Carroll","Georgia",0.093401305,0.262051508,0.226346637,0.098637083,0.047911133,0.153944989,0.030507015,0.519085507,0.773653363,0.901362917,3.81604367642105,0.969492985,0.906598695,3.95889356930684,38.8908472676788
"370",13047,"Catoosa","Georgia",0.094680168,0.262464817,0.231231814,0.107313288,0.037889289,0.089811155,0.032925963,0.361165134,0.768768186,0.892686712,3.81003447025816,0.967074037,0.905319832,0.907594040747698,32.2173641916455
"371",13049,"Charlton","Georgia",0.047065892,0.373838815,0.304971556,0.119465743,0.046899939,0.018855932,0.013446215,0.346700751,0.695028444,0.880534257,2.67494963036409,0.986553785,0.952934108,0.202793708772482,30.6758986477367
"372",13051,"Chatham","Georgia",0.105989749,0.270101483,0.307216548,0.1070172,0.027078718,0.142745288,0.031237181,0.416423122,0.692783452,0.8929828,3.70231214169231,0.968762819,0.894010251,-0.0566687244582917,30.1084295609343
"373",13053,"Chattahoochee","Georgia",0.08768407,0.17366136,0.160512063,0.033481044,0.050094162,0.174242424,0.032374101,0.194668061,0.839487937,0.966518956,5.75833334485,0.967625899,0.91231593,6.70039014463165,44.88676173861
"374",13055,"Chattooga","Georgia",0.101572739,0.394522145,0.334481274,0.16670254,0.042456745,0.115556139,0.021449346,0.509673543,0.665518726,0.83329746,2.53471196147937,0.978550654,0.898427261,-1.0938917741398,27.8399238297419
"375",13057,"Cherokee","Georgia",0.117819124,0.159768388,0.188326479,0.082629892,0.0330245,0.117332422,0.044759601,0.447093241,0.811673521,0.917370108,6.25906045944458,0.955240399,0.882180876,2.91851449906578,36.6154390185282
"376",13059,"Clarke","Georgia",0.085978127,0.285844879,0.339358032,0.093182841,0.022617359,0.117160055,0.044890608,0.418408188,0.660641968,0.906817159,3.49840096313218,0.955109392,0.914021873,-1.68451437309914,26.5481758772427
"377",13061,"Clay","Georgia",0.060954064,0.297202797,0.38407699,0.182852143,0.024930748,0.199504337,0.006284368,0.247542135,0.61592301,0.817147857,3.36470588464886,0.993715632,0.939045936,-1.00661414764651,28.0308083226826
"378",13063,"Clayton","Georgia",0.077742997,0.341170977,0.283562297,0.074813967,0.060067379,0.172604145,0.017736568,0.457339673,0.716437703,0.925186033,2.9310816787326,0.982263432,0.922257003,5.04459918068703,41.2653889851619
"379",13065,"Clinch","Georgia",0.077534791,0.207216495,0.253249476,0.075471698,0.028960818,0.070229008,0.013849287,0.46303156,0.746750524,0.924528302,4.82587064316477,0.986150713,0.922465209,3.30485577077693,37.4604042257148
"380",13067,"Cobb","Georgia",0.10748672,0.213668528,0.258343036,0.076872353,0.032227498,0.105714468,0.043727839,0.552171967,0.741656964,0.923127647,4.68014643691466,0.956272161,0.89251328,1.56296015547695,33.650712387821
"381",13069,"Coffee","Georgia",0.090175042,0.296397274,0.25950047,0.108298644,0.0625,0.070937604,0.01674452,0.451615149,0.74049953,0.891701356,3.37385019269779,0.98325548,0.909824958,2.94426173858228,36.6717506869041
"382",13071,"Colquitt","Georgia",0.085254886,0.331474474,0.273414354,0.129451599,0.045563904,0.125396107,0.017615972,0.530219182,0.726585646,0.870548401,3.01682355184912,0.982384028,0.914745114,2.37666011068785,35.4303517936689
"383",13073,"Columbia","Georgia",0.075108382,0.211280735,0.219154547,0.099128976,0.049158725,0.094718548,0.035061706,0.396314339,0.780845453,0.900871024,4.73303919545717,0.964938294,0.924891618,2.94834477873151,36.6806806851162
"384",13075,"Cook","Georgia",0.128857105,0.293483431,0.277468934,0.123446697,0.039952996,0.169772584,0.018491002,0.404434384,0.722531066,0.876553303,3.40734738105198,0.981508998,0.871142895,1.5311614955444,33.581165685862
"385",13077,"Coweta","Georgia",0.083486013,0.178537512,0.209793824,0.083153368,0.036343709,0.095651865,0.036197263,0.423562172,0.790206176,0.916846632,5.6010638257354,0.963802737,0.916513987,3.1769739899584,37.1807145747849
"386",13079,"Crawford","Georgia",0.134384984,0.181872391,0.235687904,0.136195753,0.050995025,0.082601054,0.020479134,0.175432811,0.764312096,0.863804247,5.49836066101974,0.979520866,0.865615016,0.633717421278331,31.6183699048365
"387",13081,"Crisp","Georgia",0.122247972,0.300763359,0.27832977,0.155829455,0.039896128,0.129471636,0.016773163,0.56518283,0.72167023,0.844170545,3.32487309399946,0.983226837,0.877752028,0.974018625719476,32.3626410939925
