state,county_fips,precinct,candidate,votes
Georgia,13147,Bowersville,Others,9
Georgia,13147,Cokesbury,Donald Trump,385
Georgia,13147,Cokesbury,Hillary Clinton,306
Georgia,13147,Cokesbury,Others,16
Georgia,13147,Goldmine,Donald Trump,843
Georgia,13147,Goldmine,Hillary Clinton,207
Georgia,13147,Goldmine,Others,22
Georgia,13147,Hartwell,Donald Trump,2596
Georgia,13147,Hartwell,Hillary Clinton,1235
Georgia,13147,Hartwell,Others,80
Georgia,13147,Reed Creek,Donald Trump,1462
Georgia,13147,Reed Creek,Hillary Clinton,324
Georgia,13147,Reed Creek,Others,51
Georgia,13147,Shoal Creek,Donald Trump,764
Georgia,13147,Shoal Creek,Hillary Clinton,132
Georgia,13147,Shoal Creek,Others,22
Georgia,13147,Write-ins,Others,37
Georgia,13149,CENTRALHATCHEE,Donald Trump,891
Georgia,13149,CENTRALHATCHEE,Hillary Clinton,140
Georgia,13149,CENTRALHATCHEE,Others,26
Georgia,13149,COOKSVILLE - CORINTH,Donald Trump,256
Georgia,13149,COOKSVILLE - CORINTH,Hillary Clinton,33
Georgia,13149,COOKSVILLE - CORINTH,Others,7
Georgia,13149,ENON GROVE,Donald Trump,471
Georgia,13149,ENON GROVE,Hillary Clinton,84
Georgia,13149,ENON GROVE,Others,14
Georgia,13149,EPHESUS,Donald Trump,631
Georgia,13149,EPHESUS,Hillary Clinton,85
Georgia,13149,EPHESUS,Others,19
Georgia,13149,FRANKLIN,Donald Trump,848
Georgia,13149,FRANKLIN,Hillary Clinton,305
Georgia,13149,FRANKLIN,Others,25
Georgia,13149,SOUTHWEST,Donald Trump,273
Georgia,13149,SOUTHWEST,Hillary Clinton,96
Georgia,13149,SOUTHWEST,Others,2
Georgia,13149,Write-ins,Others,17
Georgia,13151,AUSTIN ROAD,Donald Trump,784
Georgia,13151,AUSTIN ROAD,Hillary Clinton,1301
Georgia,13151,AUSTIN ROAD,Others,41
Georgia,13151,COTTON INDIAN,Donald Trump,1320
Georgia,13151,COTTON INDIAN,Hillary Clinton,1251
Georgia,13151,COTTON INDIAN,Others,72
Georgia,13151,DUTCHTOWN,Donald Trump,1009
Georgia,13151,DUTCHTOWN,Hillary Clinton,671
Georgia,13151,DUTCHTOWN,Others,57
Georgia,13151,EAST LAKE,Donald Trump,1648
Georgia,13151,EAST LAKE,Hillary Clinton,466
Georgia,13151,EAST LAKE,Others,51
Georgia,13151,ELLENWOOD,Donald Trump,483
Georgia,13151,ELLENWOOD,Hillary Clinton,2222
Georgia,13151,ELLENWOOD,Others,47
Georgia,13151,FLIPPEN,Donald Trump,1002
Georgia,13151,FLIPPEN,Hillary Clinton,1736
Georgia,13151,FLIPPEN,Others,39
Georgia,13151,GROVE PARK,Donald Trump,1299
Georgia,13151,GROVE PARK,Hillary Clinton,609
Georgia,13151,GROVE PARK,Others,52
Georgia,13151,HICKORY FLAT,Donald Trump,1199
Georgia,13151,HICKORY FLAT,Hillary Clinton,1904
Georgia,13151,HICKORY FLAT,Others,91
Georgia,13151,KELLEYTOWN,Donald Trump,1579
Georgia,13151,KELLEYTOWN,Hillary Clinton,725
Georgia,13151,KELLEYTOWN,Others,78
Georgia,13151,LAKE DOW,Donald Trump,2149
Georgia,13151,LAKE DOW,Hillary Clinton,965
Georgia,13151,LAKE DOW,Others,79
Georgia,13151,LAKE HAVEN,Donald Trump,1548
Georgia,13151,LAKE HAVEN,Hillary Clinton,980
Georgia,13151,LAKE HAVEN,Others,83
Georgia,13151,LIGHTHOUSE,Donald Trump,951
Georgia,13151,LIGHTHOUSE,Hillary Clinton,1342
Georgia,13151,LIGHTHOUSE,Others,51
Georgia,13151,LOCUST GROVE,Donald Trump,1371
Georgia,13151,LOCUST GROVE,Hillary Clinton,1852
Georgia,13151,LOCUST GROVE,Others,97
Georgia,13151,LOWES,Donald Trump,2055
Georgia,13151,LOWES,Hillary Clinton,2768
Georgia,13151,LOWES,Others,127
Georgia,13151,MCDONOUGH,Donald Trump,449
Georgia,13151,MCDONOUGH,Hillary Clinton,660
Georgia,13151,MCDONOUGH,Others,25
Georgia,13151,MCDONOUGH CENTRAL,Donald Trump,1148
Georgia,13151,MCDONOUGH CENTRAL,Hillary Clinton,1229
Georgia,13151,MCDONOUGH CENTRAL,Others,70
Georgia,13151,MCMULLEN,Donald Trump,1660
Georgia,13151,MCMULLEN,Hillary Clinton,495
Georgia,13151,MCMULLEN,Others,69
Georgia,13151,MT. BETHEL,Donald Trump,1595
Georgia,13151,MT. BETHEL,Hillary Clinton,485
Georgia,13151,MT. BETHEL,Others,48
Georgia,13151,MT. CARMEL,Donald Trump,717
Georgia,13151,MT. CARMEL,Hillary Clinton,1929
Georgia,13151,MT. CARMEL,Others,49
Georgia,13151,NORTH HAMPTON,Donald Trump,1771
Georgia,13151,NORTH HAMPTON,Hillary Clinton,2058
Georgia,13151,NORTH HAMPTON,Others,118
Georgia,13151,OAKLAND,Donald Trump,1424
Georgia,13151,OAKLAND,Hillary Clinton,1204
Georgia,13151,OAKLAND,Others,67
Georgia,13151,PATES CREEK,Donald Trump,1530
Georgia,13151,PATES CREEK,Hillary Clinton,1700
Georgia,13151,PATES CREEK,Others,102
Georgia,13151,PLEASANT GROVE,Donald Trump,1582
Georgia,13151,PLEASANT GROVE,Hillary Clinton,1045
Georgia,13151,PLEASANT GROVE,Others,54
Georgia,13151,RED OAK,Donald Trump,496
Georgia,13151,RED OAK,Hillary Clinton,2822
Georgia,13151,RED OAK,Others,58
Georgia,13151,SANDY RIDGE,Donald Trump,2247
Georgia,13151,SANDY RIDGE,Hillary Clinton,493
Georgia,13151,SANDY RIDGE,Others,83
Georgia,13151,SHAKERAG,Donald Trump,307
Georgia,13151,SHAKERAG,Hillary Clinton,2093
Georgia,13151,SHAKERAG,Others,54
Georgia,13151,SHILOH,Donald Trump,743
Georgia,13151,SHILOH,Hillary Clinton,1416
Georgia,13151,SHILOH,Others,73
Georgia,13151,SOUTH HAMPTON,Donald Trump,1601
Georgia,13151,SOUTH HAMPTON,Hillary Clinton,1395
Georgia,13151,SOUTH HAMPTON,Others,107
Georgia,13151,STAGECOACH,Donald Trump,934
Georgia,13151,STAGECOACH,Hillary Clinton,991
Georgia,13151,STAGECOACH,Others,50
Georgia,13151,STOCKBRIDGE CENTRAL,Donald Trump,716
Georgia,13151,STOCKBRIDGE CENTRAL,Hillary Clinton,1640
Georgia,13151,STOCKBRIDGE CENTRAL,Others,64
Georgia,13151,STOCKBRIDGE EAST,Donald Trump,254
Georgia,13151,STOCKBRIDGE EAST,Hillary Clinton,894
Georgia,13151,STOCKBRIDGE EAST,Others,33
Georgia,13151,STOCKBRIDGE WEST,Donald Trump,351
Georgia,13151,STOCKBRIDGE WEST,Hillary Clinton,1995
Georgia,13151,STOCKBRIDGE WEST,Others,47
Georgia,13151,SWAN LAKE,Donald Trump,1274
Georgia,13151,SWAN LAKE,Hillary Clinton,857
Georgia,13151,SWAN LAKE,Others,60
Georgia,13151,TIMBERRIDGE,Donald Trump,981
Georgia,13151,TIMBERRIDGE,Hillary Clinton,311
Georgia,13151,TIMBERRIDGE,Others,26
Georgia,13151,TUSSAHAW,Donald Trump,1842
Georgia,13151,TUSSAHAW,Hillary Clinton,265
Georgia,13151,TUSSAHAW,Others,58
Georgia,13151,UNITY GROVE - 03,Donald Trump,935
Georgia,13151,UNITY GROVE - 03,Hillary Clinton,425
Georgia,13151,UNITY GROVE - 03,Others,30
Georgia,13151,UNITY GROVE - 10,Donald Trump,1292
Georgia,13151,UNITY GROVE - 10,Hillary Clinton,213
Georgia,13151,UNITY GROVE - 10,Others,40
Georgia,13151,WESLEY LAKES,Donald Trump,940
Georgia,13151,WESLEY LAKES,Hillary Clinton,2047
Georgia,13151,WESLEY LAKES,Others,78
Georgia,13151,WESTSIDE,Donald Trump,538
Georgia,13151,WESTSIDE,Hillary Clinton,2603
Georgia,13151,WESTSIDE,Others,77
Georgia,13151,Write-ins,Others,480
Georgia,13153,ANNX,Donald Trump,2077
Georgia,13153,ANNX,Hillary Clinton,828
Georgia,13153,ANNX,Others,98
Georgia,13153,BMS,Donald Trump,3875
Georgia,13153,BMS,Hillary Clinton,1500
Georgia,13153,BMS,Others,155
Georgia,13153,CENT,Donald Trump,2791
Georgia,13153,CENT,Hillary Clinton,1519
Georgia,13153,CENT,Others,130
Georgia,13153,CGTC,Donald Trump,1820
Georgia,13153,CGTC,Hillary Clinton,855
Georgia,13153,CGTC,Others,96
Georgia,13153,FMMS,Donald Trump,3105
Georgia,13153,FMMS,Hillary Clinton,2100
Georgia,13153,FMMS,Others,185
Georgia,13153,HAFS,Donald Trump,810
Georgia,13153,HAFS,Hillary Clinton,253
Georgia,13153,HAFS,Others,15
Georgia,13153,HCTC,Donald Trump,1929
Georgia,13153,HCTC,Hillary Clinton,1495
Georgia,13153,HCTC,Others,139
Georgia,13153,HEFS,Donald Trump,502
Georgia,13153,HEFS,Hillary Clinton,282
Georgia,13153,HEFS,Others,10
Georgia,13153,HHPC,Donald Trump,1920
Georgia,13153,HHPC,Hillary Clinton,1881
Georgia,13153,HHPC,Others,124
Georgia,13153,MCMS,Donald Trump,3345
Georgia,13153,MCMS,Hillary Clinton,1733
Georgia,13153,MCMS,Others,160
Georgia,13153,MILL,Donald Trump,819
Georgia,13153,MILL,Hillary Clinton,470
Georgia,13153,MILL,Others,39
Georgia,13153,NSES,Donald Trump,1002
Georgia,13153,NSES,Hillary Clinton,521
Georgia,13153,NSES,Others,28
Georgia,13153,RECR,Donald Trump,983
Georgia,13153,RECR,Hillary Clinton,3187
Georgia,13153,RECR,Others,105
Georgia,13153,ROZR,Donald Trump,4961
Georgia,13153,ROZR,Hillary Clinton,2475
Georgia,13153,ROZR,Others,195
Georgia,13153,TMS,Donald Trump,1292
Georgia,13153,TMS,Hillary Clinton,1495
Georgia,13153,TMS,Others,87
Georgia,13153,TWPK,Donald Trump,1797
Georgia,13153,TWPK,Hillary Clinton,1060
Georgia,13153,TWPK,Others,106
Georgia,13153,VHS,Donald Trump,2402
Georgia,13153,VHS,Hillary Clinton,899
Georgia,13153,VHS,Others,89
Georgia,13153,Write-ins,Others,335
Georgia,13155,Fletcher,Donald Trump,246
Georgia,13155,Fletcher,Hillary Clinton,8
Georgia,13155,Fletcher,Others,2
Georgia,13155,Holt,Donald Trump,118
Georgia,13155,Holt,Hillary Clinton,36
Georgia,13155,Holt,Others,4
Georgia,13155,Irwinville,Donald Trump,500
Georgia,13155,Irwinville,Hillary Clinton,37
Georgia,13155,Irwinville,Others,11
Georgia,13155,Minnie,Donald Trump,184
Georgia,13155,Minnie,Hillary Clinton,17
Georgia,13155,Minnie,Others,6
Georgia,13155,Mystic,Donald Trump,344
Georgia,13155,Mystic,Hillary Clinton,56
Georgia,13155,Mystic,Others,4
Georgia,13155,Ocilla,Donald Trump,963
Georgia,13155,Ocilla,Hillary Clinton,672
Georgia,13155,Ocilla,Others,25
Georgia,13155,Osierfield,Donald Trump,129
Georgia,13155,Osierfield,Hillary Clinton,38
Georgia,13155,Osierfield,Others,0
Georgia,13155,Roberts,Donald Trump,232
Georgia,13155,Roberts,Hillary Clinton,27
Georgia,13155,Roberts,Others,6
Georgia,13155,Write-ins,Others,5
Georgia,13157,Attica,Donald Trump,689
Georgia,13157,Attica,Hillary Clinton,256
Georgia,13157,Attica,Others,34
Georgia,13157,Center,Donald Trump,465
Georgia,13157,Center,Hillary Clinton,125
Georgia,13157,Center,Others,12
Georgia,13157,Cunningham,Donald Trump,501
Georgia,13157,Cunningham,Hillary Clinton,80
Georgia,13157,Cunningham,Others,23
Georgia,13157,Harrisburg,Donald Trump,1006
Georgia,13157,Harrisburg,Hillary Clinton,192
Georgia,13157,Harrisburg,Others,35
Georgia,13157,Hoschton,Donald Trump,763
Georgia,13157,Hoschton,Hillary Clinton,128
Georgia,13157,Hoschton,Others,27
Georgia,13157,Miller,Donald Trump,1056
Georgia,13157,Miller,Hillary Clinton,114
Georgia,13157,Miller,Others,35
Georgia,13157,Newtown,Donald Trump,1287
Georgia,13157,Newtown,Hillary Clinton,187
Georgia,13157,Newtown,Others,39
Georgia,13157,North Jefferson,Donald Trump,3642
Georgia,13157,North Jefferson,Hillary Clinton,640
Georgia,13157,North Jefferson,Others,196
Georgia,13157,North Minish,Donald Trump,1065
Georgia,13157,North Minish,Hillary Clinton,346
Georgia,13157,North Minish,Others,37
Georgia,13157,Porter,Donald Trump,2272
Georgia,13157,Porter,Hillary Clinton,465
Georgia,13157,Porter,Others,75
Georgia,13157,Randolph,Donald Trump,3465
Georgia,13157,Randolph,Hillary Clinton,486
Georgia,13157,Randolph,Others,124
Georgia,13157,Redstone,Donald Trump,868
Georgia,13157,Redstone,Hillary Clinton,273
Georgia,13157,Redstone,Others,33
Georgia,13157,South Jefferson,Donald Trump,1941
Georgia,13157,South Jefferson,Hillary Clinton,577
Georgia,13157,South Jefferson,Others,75
Georgia,13157,South Minish,Donald Trump,1674
Georgia,13157,South Minish,Hillary Clinton,458
Georgia,13157,South Minish,Others,62
Georgia,13157,Talmo,Donald Trump,624
Georgia,13157,Talmo,Hillary Clinton,97
Georgia,13157,Talmo,Others,16
Georgia,13157,Wilson,Donald Trump,466
Georgia,13157,Wilson,Hillary Clinton,67
Georgia,13157,Wilson,Others,11
Georgia,13157,Write-ins,Others,81
Georgia,13159,MARTIN & BURNEY,Donald Trump,1836
Georgia,13159,MARTIN & BURNEY,Hillary Clinton,248
Georgia,13159,MARTIN & BURNEY,Others,49
Georgia,13159,MONTICELLO,Donald Trump,1712
Georgia,13159,MONTICELLO,Hillary Clinton,1067
Georgia,13159,MONTICELLO,Others,53
Georgia,13159,WYATT,Donald Trump,812
Georgia,13159,WYATT,Hillary Clinton,229
Georgia,13159,WYATT,Others,17
Georgia,13159,Write-ins,Others,22
Georgia,13161,Altamaha 1,Donald Trump,412
Georgia,13161,Altamaha 1,Hillary Clinton,50
Georgia,13161,Altamaha 1,Others,11
Georgia,13161,Altamaha 2,Donald Trump,820
Georgia,13161,Altamaha 2,Hillary Clinton,43
Georgia,13161,Altamaha 2,Others,14
Georgia,13161,Blackburn 1,Donald Trump,291
Georgia,13161,Blackburn 1,Hillary Clinton,91
Georgia,13161,Blackburn 1,Others,9
Georgia,13161,Blackburn 2,Donald Trump,423
Georgia,13161,Blackburn 2,Hillary Clinton,30
Georgia,13161,Blackburn 2,Others,3
Georgia,13161,Hazelhurst,Donald Trump,374
Georgia,13161,Hazelhurst,Hillary Clinton,366
Georgia,13161,Hazelhurst,Others,10
Georgia,13161,Ocmulgee 1,Donald Trump,724
Georgia,13161,Ocmulgee 1,Hillary Clinton,113
Georgia,13161,Ocmulgee 1,Others,13
Georgia,13161,Ocmulgee 2,Donald Trump,219
Georgia,13161,Ocmulgee 2,Hillary Clinton,64
Georgia,13161,Ocmulgee 2,Others,5
Georgia,13161,Whitehead 1,Donald Trump,454
Georgia,13161,Whitehead 1,Hillary Clinton,106
Georgia,13161,Whitehead 1,Others,12
Georgia,13161,Whitehead 2,Donald Trump,387
Georgia,13161,Whitehead 2,Hillary Clinton,38
Georgia,13161,Whitehead 2,Others,9
Georgia,13161,Write-ins,Others,5
Georgia,13163,Avera,Donald Trump,208
Georgia,13163,Avera,Hillary Clinton,33
Georgia,13163,Avera,Others,5
Georgia,13163,Bartow,Donald Trump,162
Georgia,13163,Bartow,Hillary Clinton,173
Georgia,13163,Bartow,Others,3
Georgia,13163,Louisville,Donald Trump,961
Georgia,13163,Louisville,Hillary Clinton,1441
Georgia,13163,Louisville,Others,16
Georgia,13163,Matthews,Donald Trump,272
Georgia,13163,Matthews,Hillary Clinton,128
Georgia,13163,Matthews,Others,3
Georgia,13163,Stapleton,Donald Trump,257
Georgia,13163,Stapleton,Hillary Clinton,146
Georgia,13163,Stapleton,Others,7
Georgia,13163,Stapleton Crossroads,Donald Trump,125
Georgia,13163,Stapleton Crossroads,Hillary Clinton,105
Georgia,13163,Stapleton Crossroads,Others,2
Georgia,13163,Wadley,Donald Trump,318
Georgia,13163,Wadley,Hillary Clinton,849
Georgia,13163,Wadley,Others,10
Georgia,13163,Wrens,Donald Trump,760
Georgia,13163,Wrens,Hillary Clinton,946
Georgia,13163,Wrens,Others,24
Georgia,13163,Write-ins,Others,14
Georgia,13165,Court House,Donald Trump,271
Georgia,13165,Court House,Hillary Clinton,344
Georgia,13165,Court House,Others,6
Georgia,13165,Four Points,Donald Trump,400
Georgia,13165,Four Points,Hillary Clinton,195
Georgia,13165,Four Points,Others,5
Georgia,13165,Jenkins Co Prim/Elem,Donald Trump,237
Georgia,13165,Jenkins Co Prim/Elem,Hillary Clinton,337
Georgia,13165,Jenkins Co Prim/Elem,Others,10
Georgia,13165,Perkins,Donald Trump,450
Georgia,13165,Perkins,Hillary Clinton,156
Georgia,13165,Perkins,Others,7
Georgia,13165,Senior Citizens Bld,Donald Trump,537
Georgia,13165,Senior Citizens Bld,Hillary Clinton,91
Georgia,13165,Senior Citizens Bld,Others,6
Georgia,13165,Write-ins,Others,4
Georgia,13167,Bray,Donald Trump,397
Georgia,13167,Bray,Hillary Clinton,152
Georgia,13167,Bray,Others,1
Georgia,13167,Kite,Donald Trump,559
Georgia,13167,Kite,Hillary Clinton,48
Georgia,13167,Kite,Others,6
Georgia,13167,Smith,Donald Trump,427
Georgia,13167,Smith,Hillary Clinton,64
Georgia,13167,Smith,Others,5
Georgia,13167,Wrightsville,Donald Trump,1136
Georgia,13167,Wrightsville,Hillary Clinton,872
Georgia,13167,Wrightsville,Others,15
Georgia,13167,Write-ins,Others,4
Georgia,13169,BARRON,Donald Trump,626
Georgia,13169,BARRON,Hillary Clinton,254
Georgia,13169,BARRON,Others,14
Georgia,13169,CLINTON,Donald Trump,1155
Georgia,13169,CLINTON,Hillary Clinton,331
Georgia,13169,CLINTON,Others,26
Georgia,13169,DAVIDSON,Donald Trump,770
Georgia,13169,DAVIDSON,Hillary Clinton,147
Georgia,13169,DAVIDSON,Others,19
Georgia,13169,ETHRIDGE,Donald Trump,705
Georgia,13169,ETHRIDGE,Hillary Clinton,418
Georgia,13169,ETHRIDGE,Others,26
Georgia,13169,FINNEY,Donald Trump,1214
Georgia,13169,FINNEY,Hillary Clinton,392
Georgia,13169,FINNEY,Others,46
Georgia,13169,GRAY,Donald Trump,1302
Georgia,13169,GRAY,Hillary Clinton,405
Georgia,13169,GRAY,Others,36
Georgia,13169,HAWKINS,Donald Trump,710
Georgia,13169,HAWKINS,Hillary Clinton,1127
Georgia,13169,HAWKINS,Others,35
Georgia,13169,POPE,Donald Trump,742
Georgia,13169,POPE,Hillary Clinton,384
Georgia,13169,POPE,Others,22
Georgia,13169,ROBERTS,Donald Trump,995
Georgia,13169,ROBERTS,Hillary Clinton,473
Georgia,13169,ROBERTS,Others,33
Georgia,13169,SANDERS,Donald Trump,86
Georgia,13169,SANDERS,Hillary Clinton,30
Georgia,13169,SANDERS,Others,3
Georgia,13169,Write-ins,Others,25
Georgia,13171,BARNESVILLE FBC,Donald Trump,410
Georgia,13171,BARNESVILLE FBC,Hillary Clinton,939
Georgia,13171,BARNESVILLE FBC,Others,18
Georgia,13171,CHAPPELL MILL V. FD,Donald Trump,713
Georgia,13171,CHAPPELL MILL V. FD,Hillary Clinton,147
Georgia,13171,CHAPPELL MILL V. FD,Others,18
Georgia,13171,L C S C,Donald Trump,1344
Georgia,13171,L C S C,Hillary Clinton,403
Georgia,13171,L C S C,Others,38
Georgia,13171,MILNER,Donald Trump,1881
Georgia,13171,MILNER,Hillary Clinton,404
Georgia,13171,MILNER,Others,37
Georgia,13171,REDBONE,Donald Trump,329
Georgia,13171,REDBONE,Hillary Clinton,75
Georgia,13171,REDBONE,Others,10
Georgia,13171,SENIOR CITZEN BLDG,Donald Trump,513
Georgia,13171,SENIOR CITZEN BLDG,Hillary Clinton,302
Georgia,13171,SENIOR CITZEN BLDG,Others,5
Georgia,13171,Write-ins,Others,26
Georgia,13173,Lakeland,Donald Trump,1180
Georgia,13173,Lakeland,Hillary Clinton,611
Georgia,13173,Lakeland,Others,38
Georgia,13173,Sirmans,Donald Trump,218
Georgia,13173,Sirmans,Hillary Clinton,55
Georgia,13173,Sirmans,Others,8
Georgia,13173,Stockton,Donald Trump,332
Georgia,13173,Stockton,Hillary Clinton,56
Georgia,13173,Stockton,Others,10
Georgia,13173,Westside,Donald Trump,254
Georgia,13173,Westside,Hillary Clinton,84
Georgia,13173,Westside,Others,17
Georgia,13173,Write-ins,Others,8
Georgia,13175,Bailey,Donald Trump,681
Georgia,13175,Bailey,Hillary Clinton,143
Georgia,13175,Bailey,Others,10
Georgia,13175,Brewton,Donald Trump,784
Georgia,13175,Brewton,Hillary Clinton,205
Georgia,13175,Brewton,Others,14
Georgia,13175,Buckeye,Donald Trump,329
Georgia,13175,Buckeye,Hillary Clinton,290
Georgia,13175,Buckeye,Others,5
Georgia,13175,Burch,Donald Trump,213
Georgia,13175,Burch,Hillary Clinton,54
Georgia,13175,Burch,Others,8
Georgia,13175,Burgamy,Donald Trump,326
Georgia,13175,Burgamy,Hillary Clinton,294
Georgia,13175,Burgamy,Others,10
Georgia,13175,Cadwell,Donald Trump,407
Georgia,13175,Cadwell,Hillary Clinton,68
Georgia,13175,Cadwell,Others,4
Georgia,13175,Calhoun Park,Donald Trump,745
Georgia,13175,Calhoun Park,Hillary Clinton,2214
Georgia,13175,Calhoun Park,Others,42
Georgia,13175,Dudley,Donald Trump,628
Georgia,13175,Dudley,Hillary Clinton,152
Georgia,13175,Dudley,Others,16
Georgia,13175,Family Life Center,Donald Trump,1767
Georgia,13175,Family Life Center,Hillary Clinton,850
Georgia,13175,Family Life Center,Others,60
Georgia,13175,Fire Dept Sta #5,Donald Trump,1810
Georgia,13175,Fire Dept Sta #5,Hillary Clinton,551
Georgia,13175,Fire Dept Sta #5,Others,50
Georgia,13175,Hampton Mill,Donald Trump,975
Georgia,13175,Hampton Mill,Hillary Clinton,150
Georgia,13175,Hampton Mill,Others,8
Georgia,13175,Harvard,Donald Trump,123
Georgia,13175,Harvard,Hillary Clinton,120
Georgia,13175,Harvard,Others,1
Georgia,13175,LCFS 10 (Valambrosia),Donald Trump,769
Georgia,13175,LCFS 10 (Valambrosia),Hillary Clinton,442
Georgia,13175,LCFS 10 (Valambrosia),Others,14
Georgia,13175,Minter,Donald Trump,516
Georgia,13175,Minter,Hillary Clinton,34
Georgia,13175,Minter,Others,13
Georgia,13175,Reedy Springs,Donald Trump,475
Georgia,13175,Reedy Springs,Hillary Clinton,87
Georgia,13175,Reedy Springs,Others,9
Georgia,13175,Rural Fire Sta #17,Donald Trump,930
Georgia,13175,Rural Fire Sta #17,Hillary Clinton,316
Georgia,13175,Rural Fire Sta #17,Others,17
Georgia,13175,Smith,Donald Trump,933
Georgia,13175,Smith,Hillary Clinton,782
Georgia,13175,Smith,Others,32
Georgia,13175,Write-ins,Others,54
Georgia,13177,CJC,Donald Trump,387
Georgia,13177,CJC,Hillary Clinton,42
Georgia,13177,CJC,Others,6
Georgia,13177,Century Fire Station,Donald Trump,1397
Georgia,13177,Century Fire Station,Hillary Clinton,494
Georgia,13177,Century Fire Station,Others,38
Georgia,13177,Chokee,Donald Trump,163
Georgia,13177,Chokee,Hillary Clinton,162
Georgia,13177,Chokee,Others,4
Georgia,13177,First Baptist,Donald Trump,1902
Georgia,13177,First Baptist,Hillary Clinton,631
Georgia,13177,First Baptist,Others,49
Georgia,13177,Friendship Bapt,Donald Trump,623
Georgia,13177,Friendship Bapt,Hillary Clinton,130
Georgia,13177,Friendship Bapt,Others,15
Georgia,13177,Leesburg,Donald Trump,1491
Georgia,13177,Leesburg,Hillary Clinton,458
Georgia,13177,Leesburg,Others,54
Georgia,13177,Redbone,Donald Trump,2433
Georgia,13177,Redbone,Hillary Clinton,554
Georgia,13177,Redbone,Others,69
Georgia,13177,SDA Church,Donald Trump,687
Georgia,13177,SDA Church,Hillary Clinton,110
Georgia,13177,SDA Church,Others,17
Georgia,13177,Smithville,Donald Trump,350
Georgia,13177,Smithville,Hillary Clinton,268
Georgia,13177,Smithville,Others,8
Georgia,13177,Sovereign Grace,Donald Trump,1213
Georgia,13177,Sovereign Grace,Hillary Clinton,321
Georgia,13177,Sovereign Grace,Others,39
Georgia,13177,Write-ins,Others,28
Georgia,13179,Button Gwinnett,Donald Trump,160
Georgia,13179,Button Gwinnett,Hillary Clinton,194
Georgia,13179,Button Gwinnett,Others,25
Georgia,13179,Fleming East,Donald Trump,1220
Georgia,13179,Fleming East,Hillary Clinton,400
Georgia,13179,Fleming East,Others,42
Georgia,13179,Fleming West,Donald Trump,80
Georgia,13179,Fleming West,Hillary Clinton,206
Georgia,13179,Fleming West,Others,8
Georgia,13179,Gum Branch,Donald Trump,675
Georgia,13179,Gum Branch,Hillary Clinton,495
Georgia,13179,Gum Branch,Others,30
Georgia,13179,Hinesville,Donald Trump,467
Georgia,13179,Hinesville,Hillary Clinton,474
Georgia,13179,Hinesville,Others,24
Georgia,13179,Hinesville Lodge,Donald Trump,338
Georgia,13179,Hinesville Lodge,Hillary Clinton,870
Georgia,13179,Hinesville Lodge,Others,49
Georgia,13179,Lewis Frasier School,Donald Trump,767
Georgia,13179,Lewis Frasier School,Hillary Clinton,1247
Georgia,13179,Lewis Frasier School,Others,58
Georgia,13179,Liberty County,Donald Trump,1040
Georgia,13179,Liberty County,Hillary Clinton,1223
Georgia,13179,Liberty County,Others,48
Georgia,13179,Lyman Hall School,Donald Trump,428
Georgia,13179,Lyman Hall School,Hillary Clinton,1348
Georgia,13179,Lyman Hall School,Others,52
Georgia,13179,Memorial Dr. East,Donald Trump,203
Georgia,13179,Memorial Dr. East,Hillary Clinton,742
Georgia,13179,Memorial Dr. East,Others,29
Georgia,13179,Riceboro Youth Center,Donald Trump,140
Georgia,13179,Riceboro Youth Center,Hillary Clinton,556
Georgia,13179,Riceboro Youth Center,Others,7
Georgia,13179,Town of Allenhurst,Donald Trump,333
Georgia,13179,Town of Allenhurst,Hillary Clinton,888
Georgia,13179,Town of Allenhurst,Others,17
Georgia,13179,Walthourville,Donald Trump,283
Georgia,13179,Walthourville,Hillary Clinton,913
Georgia,13179,Walthourville,Others,38
Georgia,13179,Write-ins,Others,26
Georgia,13181,Bethany Church,Donald Trump,329
Georgia,13181,Bethany Church,Hillary Clinton,56
Georgia,13181,Bethany Church,Others,8
Georgia,13181,Faith Temple of Linc,Donald Trump,209
Georgia,13181,Faith Temple of Linc,Hillary Clinton,118
Georgia,13181,Faith Temple of Linc,Others,4
Georgia,13181,Lincoln Center,Donald Trump,756
Georgia,13181,Lincoln Center,Hillary Clinton,223
Georgia,13181,Lincoln Center,Others,16
Georgia,13181,Lincoln Club House,Donald Trump,205
Georgia,13181,Lincoln Club House,Hillary Clinton,336
Georgia,13181,Lincoln Club House,Others,5
Georgia,13181,Martins Crossroad,Donald Trump,682
Georgia,13181,Martins Crossroad,Hillary Clinton,142
Georgia,13181,Martins Crossroad,Others,20
Georgia,13181,Midway,Donald Trump,223
Georgia,13181,Midway,Hillary Clinton,110
Georgia,13181,Midway,Others,6
Georgia,13181,Tabernacle,Donald Trump,355
Georgia,13181,Tabernacle,Hillary Clinton,288
Georgia,13181,Tabernacle,Others,11
Georgia,13183,Alma Flournoy,Donald Trump,132
Georgia,13183,Alma Flournoy,Hillary Clinton,31
Georgia,13183,Alma Flournoy,Others,6
Georgia,13183,Beards Creek,Donald Trump,390
Georgia,13183,Beards Creek,Hillary Clinton,307
Georgia,13183,Beards Creek,Others,18
Georgia,13183,Faith Baptist Annex,Donald Trump,288
Georgia,13183,Faith Baptist Annex,Hillary Clinton,93
Georgia,13183,Faith Baptist Annex,Others,7
Georgia,13183,North Ludowici,Donald Trump,460
