"","county_fips","libertarian20"
"1",1001,0.0126035289881167
"2",1003,0.0112054267453204
"3",1005,0.00646510743487355
"4",1007,0.00771235018238666
"5",1009,0.00757575757575758
"6",1011,0.00411879471060048
"7",1013,0.00621838111298482
"8",1015,0.0108467528391817
"9",1017,0.00922533368228213
"10",1019,0.00666612470530851
"11",1021,0.00636975660279648
"12",1023,0.00509110396570204
"13",1025,0.00373049105443472
"14",1027,0.00764790764790765
"15",1029,0.008302200083022
"16",1031,0.0118518518518519
"17",1033,0.0097181381338306
"18",1035,0.00496817264399938
"19",1037,0.00839569264464318
"20",1039,0.00556511761331038
"21",1041,0.00664953906604201
"22",1043,0.0099878139112566
"23",1045,0.0118046407944067
"24",1047,0.00503806538289297
"25",1049,0.00851614661398011
"26",1051,0.00970021935169388
"27",1053,0.00590823381521056
"28",1055,0.0111255447536038
"29",1057,0.00638831850330824
"30",1059,0.00842741294323422
"31",1061,0.00717417297728179
"32",1063,0.00167539267015707
"33",1065,0.00468354430379747
"34",1067,0.00742095074209507
"35",1069,0.0115435427630867
"36",1071,0.00880013538669826
"37",1073,0.0109805799022857
"38",1075,0.00458779368830808
"39",1077,0.0121112339024335
"40",1079,0.00785977169234608
"41",1081,0.0142619210905681
"42",1083,0.0151924443993094
"43",1085,0.000877834674469642
"44",1087,0.00596125186289121
"45",1089,0.0189919236831701
"46",1091,0.00541284403669725
"47",1093,0.00832910842326356
"48",1095,0.0109696129113605
"49",1097,0.0105806817933655
"50",1099,0.00496812898387702
"51",1101,0.00931016048174785
"52",1103,0.0131231152972711
"53",1105,0.00458891013384321
"54",1107,0.00413736036408771
"55",1109,0.00968138140307781
"56",1111,0.00562886407677402
"57",1113,0.00928313563692625
"58",1115,0.0100357777727774
"59",1117,0.012718573292736
"60",1119,0.00588141789858528
"61",1121,0.00692594565796484
"62",1123,0.00619313038921443
"63",1125,0.0102803531029588
"64",1127,0.00888675008020533
"65",1129,0.00506985128436233
"66",1131,0.00287989158055226
"67",1133,0.00903934774902517
"68",2001,0.029532403609516
"69",2002,0.0467731421121252
"70",2003,0.0376863446630889
"71",2004,0.030729711730568
"72",2005,0.0299283568292119
"73",2006,0.0281183932346723
"74",2007,0.0282685512367491
"75",2008,0.0243139628732849
"76",2009,0.027381060674975
"77",2010,0.0255243195002231
"78",2011,0.0253105005645465
"79",2012,0.0256273358248799
"80",2013,0.039932581356152
"81",2014,0.0311107227125754
"82",2015,0.0354380284223781
"83",2016,0.0258684405025868
"84",2017,0.0254178753971543
"85",2018,0.0203367875647668
"86",2019,0.0207508017355216
"87",2020,0.0204081632653061
"88",2021,0.0215293244246474
"89",2022,0.0210084033613445
"90",2023,0.021966662359478
"91",2024,0.0212888377445339
"92",2025,0.0215549597855228
"93",2026,0.0204727524478291
"94",2027,0.0239848516726278
"95",2028,0.0171778178680681
"96",2029,0.0176793523774076
"97",2030,0.0265330188679245
"98",2031,0.0201450443190975
"99",2032,0.0285542891421716
"100",2033,0.0179826563213145
"101",2034,0.0260042874452419
"102",2035,0.0168283508216195
"103",2036,0.0263667671114938
"104",2037,0.0167250097238429
"105",2038,0.0198150594451783
"106",2039,0.0208793074180954
"107",2040,0.0204214642624375
"108",2099,0.0023094688221709
"109",4001,0.0124246559763448
"110",4003,0.0190761391085669
"111",4005,0.0207719183316956
"112",4007,0.0123635311980334
"113",4009,0.0141380460153384
"114",4011,0.0189959294436906
"115",4012,0.0124698310539019
"116",4013,0.0153301704330066
"117",4015,0.0124393319830321
"118",4017,0.0140436957907547
"119",4019,0.014715688214959
"120",4021,0.0150886070474769
"121",4023,0.0114542851298834
"122",4025,0.0146067964893416
"123",4027,0.0162705170217942
"124",5001,0.00731087094723458
"125",5003,0.00315417612919505
"126",5005,0.00871138192031228
"127",5007,0.0164453932884115
"128",5009,0.00894004908262241
"129",5011,0.0090311986863711
"130",5013,0.0073327222731439
"131",5015,0.00847673137238281
"132",5017,0.00414330977333658
"133",5019,0.00941036331149494
"134",5021,0.0102257379895813
"135",5023,0.0082807570977918
"136",5025,0.0075
"137",5027,0.00615134633240483
"138",5029,0.00898100172711572
"139",5031,0.0114253070551271
"140",5033,0.011373541986634
"141",5035,0.00684303782000367
"142",5037,0.00691443388072602
"143",5039,0.00528501321253303
"144",5041,0.00432276657060519
"145",5043,0.00390851187029531
"146",5045,0.0154332328948335
"147",5047,0.0093982325711881
"148",5049,0.00742332486813831
"149",5051,0.00895947872123804
"150",5053,0.00682926829268293
"151",5055,0.0116770186335404
"152",5057,0.0045268691588785
"153",5059,0.00740622760213427
"154",5061,0.00558543649151841
"155",5063,0.0101295479603087
"156",5065,0.00946643717728055
"157",5067,0.00726772736201139
"158",5069,0.00421337149216949
"159",5071,0.0102126763529164
"160",5073,0.00335946248600224
"161",5075,0.00887826532354448
"162",5077,0.00280898876404494
"163",5079,0.00541935483870968
"164",5081,0.00849913077071663
"165",5083,0.0106990881458967
"166",5085,0.0131433044158894
"167",5087,0.00734593932798259
"168",5089,0.00866320138611222
"169",5091,0.00611047250287374
"170",5093,0.00972289742343218
"171",5095,0.00426136363636364
"172",5097,0.0067131422669765
"173",5099,0.00238237045860631
"174",5101,0.00575287643821911
"175",5103,0.00820438259424655
"176",5105,0.0075642965204236
"177",5107,0.00240307593719962
"178",5109,0.00965614696184644
"179",5111,0.0053184416965829
"180",5113,0.00977620730270907
"181",5115,0.00982318271119843
"182",5117,0.00457796852646638
"183",5119,0.00981430487890983
"184",5121,0.00807398708162067
"185",5123,0.00520540236353405
"186",5125,0.0104461103600836
