"","county_fips","state","county_name","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote16","religious_adherents","prev_score"
"1",1001,"Alabama","Autauga",0.071144599,0.233674083,0.272054868,0.121436256,0.031403417,0.086610081,0.014756757,0.514395034,2.86323344284773
"2",1003,"Alabama","Baldwin",0.140647435,0.210865435,0.283551023,0.131704147,0.037751966,0.084999652,0.016770461,0.536534537,2.52382603205312
"3",1005,"Alabama","Barbour",0.100094652,0.379058547,0.343944099,0.16648181,0.042477322,0.126388077,0.005632267,0.687071324,3.58031039176596
"4",1007,"Alabama","Bibb",0.083474885,0.304868914,0.300304878,0.119456763,0.064062939,0.080197322,0.008927929,0.488359575,NA
"5",1009,"Alabama","Blount",0.109953331,0.211325701,0.254092296,0.12424859,0.045938013,0.110977023,0.008688254,0.573189705,3.02359710282247
"6",1011,"Alabama","Bullock",0.075053419,0.27738764,0.317391304,0.140289855,0.044971893,0.098773006,0.002783753,0.472530656,NA
"7",1013,"Alabama","Butler",0.060440294,0.30760165,0.317346796,0.154536531,0.04661469,0.097564808,0.004845322,0.611254002,4.7084153254541
"8",1015,"Alabama","Calhoun",0.073319179,0.334123452,0.315552771,0.135457454,0.047207354,0.109857938,0.015196492,0.718398159,3.87137520662657
"9",1017,"Alabama","Chambers",0.074177282,0.296178344,0.280833904,0.128661645,0.067470956,0.103093605,0.007552598,0.557373749,5.50585088383098
"10",1019,"Alabama","Cherokee",0.096131415,0.229219144,0.306191858,0.157747324,0.037459283,0.093085415,0.009812429,0.502623043,3.86951540041728
"11",1021,"Alabama","Chilton",0.106917572,0.221179764,0.238379304,0.119130589,0.031350106,0.129901639,0.008745349,0.736681921,4.83232894804919
"12",1023,"Alabama","Choctaw",0.054721977,0.218544367,0.355967865,0.172532517,0.059404776,0.103923097,0.00461402,0.614844058,NA
"13",1025,"Alabama","Clarke",0.089401862,0.289276486,0.351612115,0.134709331,0.06111869,0.055890805,0.004684616,0.756746221,6.10797690707251
"14",1027,"Alabama","Clay",0.117715392,0.154251317,0.26071103,0.121969006,0.017773019,0.097334878,0.010162824,0.686639505,NA
"15",1029,"Alabama","Cleburne",0.091883345,0.233516484,0.305676098,0.17253949,0.061085271,0.128463476,0.00917899,0.785666844,NA
"16",1031,"Alabama","Coffee",0.10750321,0.277392317,0.288120611,0.130383539,0.033710571,0.105585901,0.013309582,0.693388198,3.00684375105228
"17",1033,"Alabama","Colbert",0.090663957,0.300150247,0.294335081,0.132596923,0.025841459,0.090934449,0.013747646,0.603054502,2.14784301453427
"18",1035,"Alabama","Conecuh",0.077987756,0.249202128,0.400853357,0.188636874,0.033389853,0.103147398,0.004832291,0.434853842,NA
"19",1037,"Alabama","Coosa",0.073164426,0.265114091,0.275568892,0.134783696,0.022294725,0.15323646,0.006450043,0.4718398,NA
"20",1039,"Alabama","Covington",0.08952949,0.3196767,0.313512752,0.166478794,0.054424272,0.091375613,0.007875032,0.578466862,3.4032883346844
"21",1041,"Alabama","Crenshaw",0.121784879,0.292662819,0.33994627,0.140731556,0.058590467,0.160833954,0.007077526,0.609519479,NA
"22",1043,"Alabama","Cullman",0.115517241,0.253133347,0.25248893,0.125976998,0.041960659,0.128479072,0.012112984,0.626101109,3.53675434633833
"23",1045,"Alabama","Dale",0.090091085,0.308222446,0.323041237,0.135721649,0.031190895,0.111030126,0.01285961,0.503527551,1.50058893442807
"24",1047,"Alabama","Dallas",0.091023052,0.375711941,0.402358842,0.18409815,0.051511335,0.084765178,0.003062885,0.551115387,-0.468815322865214
"25",1049,"Alabama","DeKalb",0.120965387,0.212822165,0.26597898,0.127286882,0.045332606,0.14884637,0.012250869,0.632136074,3.65471498642349
