"","county_fips","state","county","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","religious_adherents","libertarian_vote16","prev_score","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian_vote16_reverse","self_employed_reverse","county_collectivism_raw","county_collectivism_score"
"1",1001,"Alabama","Autauga",0.071144599,0.233674083,0.272054868,0.121436256,0.031403417,0.086610081,0.514395034,0.014756757,2.86323344284773,0.727945132,0.878563744,4.27946474491996,0.985243243,0.928855401,2.1273421846096,35.0006736116254
"2",1003,"Alabama","Baldwin",0.140647435,0.210865435,0.283551023,0.131704147,0.037751966,0.084999652,0.536534537,0.016770461,2.52382603205312,0.716448977,0.868295853,4.74236092795389,0.983229539,0.859352565,0.776518451375586,32.0456509632148
"3",1005,"Alabama","Barbour",0.100094652,0.379058547,0.343944099,0.16648181,0.042477322,0.126388077,0.687071324,0.005632267,3.58031039176596,0.656055901,0.83351819,2.63811489785508,0.994367733,0.899905348,1.07975930045846,32.7090118110568
"4",1007,"Alabama","Bibb",0.083474885,0.304868914,0.300304878,0.119456763,0.064062939,0.080197322,0.488359575,0.008927929,NA,0.699695122,0.880543237,3.28009827856703,0.991072071,0.916525115,2.96389389813717,36.8306897708191
"5",1009,"Alabama","Blount",0.109953331,0.211325701,0.254092296,0.12424859,0.045938013,0.110977023,0.573189705,0.008688254,3.02359710282247,0.745907704,0.87575141,4.73203209674908,0.991311746,0.890046669,3.85867268267186,38.7880817743539
"6",1011,"Alabama","Bullock",0.075053419,0.27738764,0.317391304,0.140289855,0.044971893,0.098773006,0.472530656,0.002783753,NA,0.682608696,0.859710145,3.60506329698036,0.997216247,0.924946581,2.01060182549671,34.7452958027559
"7",1013,"Alabama","Butler",0.060440294,0.30760165,0.317346796,0.154536531,0.04661469,0.097564808,0.611254002,0.004845322,4.7084153254541,0.682653204,0.845463469,3.25095785409474,0.995154678,0.939559706,2.38293845103199,35.5598085583583
"8",1015,"Alabama","Calhoun",0.073319179,0.334123452,0.315552771,0.135457454,0.047207354,0.109857938,0.718398159,0.015196492,3.87137520662657,0.684447229,0.864542546,2.99290574790302,0.984803508,0.926680821,2.60071024786441,36.0361997972687
"9",1017,"Alabama","Chambers",0.074177282,0.296178344,0.280833904,0.128661645,0.067470956,0.103093605,0.557373749,0.007552598,5.50585088383098,0.719166096,0.871338355,3.37634408544063,0.992447402,0.925822718,4.37427757171009,39.9160040096936
"10",1019,"Alabama","Cherokee",0.096131415,0.229219144,0.306191858,0.157747324,0.037459283,0.093085415,0.502623043,0.009812429,3.86951540041728,0.693808142,0.842252676,4.36263735458326,0.990187571,0.903868585,0.802989983537976,32.1035593158396
"11",1021,"Alabama","Chilton",0.106917572,0.221179764,0.238379304,0.119130589,0.031350106,0.129901639,0.736681921,0.008745349,4.83232894804919,0.761620696,0.880869411,4.52120927301469,0.991254651,0.893082428,4.60182632437306,40.4137830323695
"12",1023,"Alabama","Choctaw",0.054721977,0.218544367,0.355967865,0.172532517,0.059404776,0.103923097,0.614844058,0.00461402,NA,0.644032135,0.827467483,4.57572992489896,0.99538598,0.945278023,2.80972240277121,36.4934286986769
"13",1025,"Alabama","Clarke",0.089401862,0.289276486,0.351612115,0.134709331,0.06111869,0.055890805,0.756746221,0.004684616,6.10797690707251,0.648387885,0.865290669,3.45690039943309,0.995315384,0.910598138,2.66628384229446,36.1796466822405
"14",1027,"Alabama","Clay",0.117715392,0.154251317,0.26071103,0.121969006,0.017773019,0.097334878,0.686639505,0.010162824,NA,0.73928897,0.878030994,6.48292682000245,0.989837176,0.882284608,3.13174914479522,37.197885018671
"15",1029,"Alabama","Cleburne",0.091883345,0.233516484,0.305676098,0.17253949,0.061085271,0.128463476,0.785666844,0.00917899,NA,0.694323902,0.82746051,4.28235293230948,0.99082101,0.908116655,3.95766611972096,39.0046369334965
"16",1031,"Alabama","Coffee",0.10750321,0.277392317,0.288120611,0.130383539,0.033710571,0.105585901,0.693388198,0.013309582,3.00684375105228,0.711879389,0.869616461,3.60500251346183,0.986690418,0.89249679,2.03693807913097,34.8029082240133
"17",1033,"Alabama","Colbert",0.090663957,0.300150247,0.294335081,0.132596923,0.025841459,0.090934449,0.603054502,0.013747646,2.14784301453427,0.705664919,0.867403077,3.33166475788374,0.986252354,0.909336043,0.846023217648887,32.1976975651933
"18",1035,"Alabama","Conecuh",0.077987756,0.249202128,0.400853357,0.188636874,0.033389853,0.103147398,0.434853842,0.004832291,NA,0.599146643,0.811363126,4.01280682482776,0.995167709,0.922012244,-1.6707714976024,26.6920307620478
"19",1037,"Alabama","Coosa",0.073164426,0.265114091,0.275568892,0.134783696,0.022294725,0.15323646,0.4718398,0.006450043,NA,0.724431108,0.865216304,3.77196095548162,0.993549957,0.926835574,2.4624060357958,35.733649531843
"20",1039,"Alabama","Covington",0.08952949,0.3196767,0.313512752,0.166478794,0.054424272,0.091375613,0.578466862,0.007875032,3.4032883346844,0.686487248,0.833521206,3.1281604195739,0.992124968,0.91047051,1.43110180070461,33.4775984297498
"21",1041,"Alabama","Crenshaw",0.121784879,0.292662819,0.33994627,0.140731556,0.058590467,0.160833954,0.609519479,0.007077526,NA,0.66005373,0.859268444,3.41690141377337,0.992922474,0.878215121,2.8313771638682,36.5408000232348
"22",1043,"Alabama","Cullman",0.115517241,0.253133347,0.25248893,0.125976998,0.041960659,0.128479072,0.626101109,0.012112984,3.53675434633833,0.74751107,0.874023002,3.9504870134712,0.987887016,0.884482759,3.45332189574865,37.9013482010243
