county_fips,candidatevotes,totalvotes
8033,1089,1449
8035,121270,231605
8037,9892,29140
8039,14027,18983
8041,202828,378851
8043,17517,25557
8045,14717,30904
8047,1833,4186
8049,4883,9870
8051,3735,11190
8053,353,632
8055,2203,4406
8057,681,876
8059,148417,377358
8061,795,903
8063,3144,3871
8065,1497,3961
8067,14233,35667
8069,91489,224338
8071,4284,7961
8073,2135,2651
8075,8087,10532
8077,56894,90623
8079,427,756
8081,5670,7026
8083,9306,15500
8085,16770,24922
8087,9593,13744
8089,5756,9576
8091,1577,4020
8093,6991,12291
8095,1958,2485
8097,2780,11957
8099,4008,5561
8101,42252,88301
8103,3061,3691
8105,3660,6305
8107,5925,16876
8109,1413,3389
8111,202,562
8113,1136,5147
8115,1121,1446
8117,5322,18479
8119,11241,16939
8121,2595,3008
8123,96145,166974
8125,4107,4981
9001,168445,472396
9003,159024,449336
9005,55601,107544
9007,40665,99198
9009,169893,417983
9011,57110,139604
9013,34838,80714
9015,29141,57082
10001,41009,87025
10003,88364,287633
10005,71230,129352
11001,18586,344356
12001,50972,142604
12003,11911,14059
12005,66097,93024
12007,10334,13632
12009,207883,360764
