state,self_employed,divorce_marriage,living_alone,living_alone_65over,living_grandchildren,carpool_drive_alone,libertarian_vote,religious_adherents,living_alone_reverse,living_alone_65over_reverse,divorce_marriage_reverse,libertarian_vote_reverse,self_employed_reverse,state_collectivism_raw,state_collectivism_score
Nebraska,0.10589904,0.20044942,0.30024769,0.11965161,0.02131635,0.110416667,0.021186052,0.492773912,0.69975231,0.88034839,4.988789691,0.978813949,0.89410096,-1.982444102,32.03969072
Nevada,0.09202126,0.29541595,0.27942778,0.10516203,0.04115928,0.145578796,0.014737287,0.416083288,0.72057222,0.89483797,3.385057577,0.985262713,0.90797874,2.261503089,50.66154272
New Hampshire,0.09337128,0.23547801,0.27053691,0.12221802,0.02454204,0.094771182,0.018295725,0.272188825,0.72946309,0.87778198,4.246681038,0.981704275,0.90662872,-4.012626566,23.13153149
New Jersey,0.08686987,0.17441053,0.26326508,0.11673883,0.03169564,0.11695693,0.008408669,0.521742182,0.73673492,0.88326117,5.733598768,0.991591331,0.91313013,5.683441039,65.67653211
New Mexico,0.09842296,0.30578092,0.31587792,0.13226024,0.0382839,0.129366812,0.036343165,0.525131262,0.68412208,0.86773976,3.270315231,0.963656835,0.90157704,-4.852472078,19.4464058
New York,0.09515756,0.20067898,0.3031004,0.12662596,0.03240757,0.125232206,0.005867785,0.51222318,0.6968996,0.87337404,4.983082932,0.994132216,0.90484244,2.828608706,53.14992356
North Carolina,0.09604507,0.22092281,0.29049978,0.11452069,0.03178631,0.114676677,0.013025433,0.521461316,0.70950022,0.88547931,4.526467864,0.986974568,0.90395493,1.660002623,48.02224205
North Dakota,0.1097655,0.18600372,0.33231054,0.11754854,0.01603993,0.104621618,0.027175009,0.550186499,0.66768946,0.88245146,5.376236561,0.972824991,0.8902345,-3.657431626,24.69007765
Ohio,0.0792983,0.25337377,0.31445515,0.12882093,0.02758946,0.097553584,0.013878533,0.478517131,0.68554485,0.87117907,3.946738449,0.986121467,0.9207017,-1.930829811,32.26616708
Oklahoma,0.10414697,0.26231534,0.29128968,0.11959393,0.03536459,0.118019964,0.018325164,0.611747172,0.70871032,0.88040607,3.812205569,0.981674837,0.89585303,0.321752607,42.15018649
Oregon,0.11224505,0.26222709,0.27985781,0.12108103,0.02589895,0.130160444,0.020559326,0.331812144,0.72014219,0.87891897,3.81348853,0.979440674,0.88775495,-3.939225065,23.4536071
Pennsylvania,0.07994228,0.20315637,0.30261025,0.13300795,0.02752297,0.108743472,0.011871867,0.468929145,0.69738975,0.86699205,4.922316736,0.988128133,0.92005772,0.397469554,42.48242196
Rhode Island,0.0827663,0.24935387,0.3045308,0.13232644,0.02751476,0.099844423,0.013577775,0.515091869,0.6954692,0.86767356,4.010364868,0.986422226,0.9172337,-1.455400794,34.35228371
South Carolina,0.09545491,0.21994665,0.29111332,0.1190553,0.03556011,0.106751242,0.01165036,0.526704992,0.70888668,0.8809447,4.546557086,0.98834964,0.90454509,1.72999039,48.32933867
South Dakota,0.12194821,0.20762818,0.30805394,0.1229989,0.02251045,0.099447764,0.025830794,0.553788514,0.69194606,0.8770011,4.81630191,0.974169206,0.87805179,-4.214012736,22.24787689
Tennessee,0.09476166,0.24777507,0.28934695,0.11544736,0.03643176,0.108093049,0.012141262,0.556366086,0.71065305,0.88455264,4.035918545,0.987858739,0.90523834,1.683268681,48.12433029
Texas,0.10255327,0.2066149,0.25673699,0.08571931,0.04347823,0.129499678,0.015198058,0.550530142,0.74326301,0.91428069,4.839922,0.984801943,0.89744673,6.965274271,71.30103865
Utah,0.0946384,0.15870356,0.19897744,0.07544652,0.03714134,0.139068672,0.020128608,0.760960638,0.80102256,0.92455348,6.301055881,0.979871393,0.9053616,13.50580936,100
Vermont,0.13095362,0.26151074,0.31011292,0.14397159,0.01795876,0.114670316,0.01402682,0.37634218,0.68988708,0.85602841,3.823934726,0.98597318,0.86904638,-7.824081654,6.407394896
Virginia,0.08477112,0.20323616,0.27976038,0.11148023,0.03304138,0.117283018,0.013821564,0.459984269,0.72023962,0.88851977,4.920384247,0.986178437,0.91522888,3.015654781,53.97065581
Washington,0.09689729,0.22356771,0.26965749,0.10524282,0.0295336,0.134644683,0.021472048,0.413320552,0.73034251,0.89475718,4.472917847,0.978527952,0.90310271,0.952009461,44.9156662
West Virginia,0.06651617,0.27844709,0.31186666,0.14598207,0.03415996,0.102007301,0.013808648,0.377781656,0.68813334,0.85401793,3.591346564,0.986191352,0.93348383,-2.985228739,27.63961074
Wisconsin,0.08448835,0.21970115,0.3074874,0.12528283,0.01801201,0.095468986,0.014284361,0.480442736,0.6925126,0.87471717,4.551637531,0.985715639,0.91551165,-2.103486189,31.50857483
Wyoming,0.11771653,0.23211342,0.30319958,0.12451528,0.02183056,0.125508046,0.02488792,0.403944866,0.69680042,0.87548472,4.308238619,0.975112081,0.88228347,-5.057516983,18.54669718
